flight_id,flight_number,origin,destination,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,delay_minutes,aircraft_type,passenger_count,status,cancellation_cost,delay_cost_per_minute
F102,AA1002,JFK,DFW,2026-08-12T16:11:00,2026-08-12T21:56:00,,,0,A321,161,SCHEDULED,48071,98
F174,AA1074,ATL,MIA,2026-08-12T16:11:00,2026-08-12T17:43:00,,,0,B737,132,SCHEDULED,32341,102
F124,AA1024,ATL,DFW,2026-08-12T16:14:00,2026-08-12T21:24:00,,,0,A320,124,SCHEDULED,44941,139
F164,AA1064,MIA,ATL,2026-08-12T16:19:00,2026-08-12T18:52:00,,,0,A320,129,SCHEDULED,38269,132
F108,AA1008,DEN,ORD,2026-08-12T16:38:00,2026-08-12T20:24:00,,,0,A320,104,SCHEDULED,37234,135
F100,AA1000,DEN,CLT,2026-08-12T16:41:00,2026-08-12T20:57:00,,,0,B737,119,SCHEDULED,20103,120
F148,AA1048,SEA,CLT,2026-08-12T17:02:00,2026-08-12T22:10:00,,,0,B737,112,SCHEDULED,22931,99
F117,AA1017,DFW,DEN,2026-08-12T17:10:00,2026-08-12T21:19:00,,,0,A321,162,SCHEDULED,42472,136
F173,AA1073,MIA,BOS,2026-08-12T17:15:00,2026-08-12T22:01:00,,,0,A321,145,SCHEDULED,33989,98
F144,AA1044,ORD,SEA,2026-08-12T17:40:00,2026-08-12T20:29:00,,,0,A320,115,SCHEDULED,31803,123
F104,AA1004,ATL,ORD,2026-08-12T17:44:00,2026-08-12T22:53:00,,,0,A321,143,SCHEDULED,32373,97
F179,AA1079,DFW,MIA,2026-08-12T17:49:00,2026-08-12T21:25:00,,,0,A320,130,SCHEDULED,49758,110
F186,AA1086,ORD,DEN,2026-08-12T17:51:00,2026-08-12T22:40:00,,,0,A321,154,SCHEDULED,53791,108
F110,AA1010,DFW,LGA,2026-08-12T18:00:00,2026-08-12T21:01:00,,,0,B737,145,SCHEDULED,37558,144
F147,AA1047,DFW,ORD,2026-08-12T18:09:00,2026-08-12T20:45:00,,,0,A320,107,SCHEDULED,46956,150
F168,AA1068,CLT,DFW,2026-08-12T18:24:00,2026-08-12T22:38:00,,,0,A321,148,SCHEDULED,46977,107
F126,AA1026,DFW,ATL,2026-08-12T18:39:00,2026-08-12T21:04:00,,,0,B787,216,SCHEDULED,30465,148
F154,AA1054,MIA,DEN,2026-08-12T18:41:00,2026-08-12T22:18:00,,,0,A320,107,SCHEDULED,25084,128
F175,AA1075,ORD,MIA,2026-08-12T18:43:00,2026-08-13T00:38:00,,,0,A321,123,SCHEDULED,54530,111
F178,AA1078,JFK,ORD,2026-08-12T19:10:00,2026-08-13T00:28:00,,,0,B787,252,SCHEDULED,47495,113
F142,AA1042,CLT,MIA,2026-08-12T19:13:00,2026-08-12T23:17:00,,,0,B737,147,SCHEDULED,54346,118
F135,AA1035,ORD,DFW,2026-08-12T19:31:00,2026-08-12T22:36:00,,,0,B737,143,SCHEDULED,22453,110
F185,AA1085,CLT,ORD,2026-08-12T19:37:00,2026-08-13T00:21:00,,,0,A321,120,SCHEDULED,41052,118
F125,AA1025,BOS,MIA,2026-08-12T19:44:00,2026-08-12T21:41:00,,,0,B737,108,SCHEDULED,44386,123
F155,AA1055,LAX,ORD,2026-08-12T19:53:00,2026-08-12T21:42:00,,,0,A321,134,SCHEDULED,31079,138
F114,AA1014,CLT,BOS,2026-08-12T19:59:00,2026-08-12T22:09:00,,,0,B737,151,SCHEDULED,49849,88
F141,AA1041,DFW,BOS,2026-08-12T20:00:00,2026-08-12T23:35:00,,,0,A320,115,SCHEDULED,28338,136
F153,AA1053,CLT,ATL,2026-08-12T20:02:00,2026-08-13T01:03:00,,,0,B737,116,SCHEDULED,39770,132
F151,AA1051,ORD,PHX,2026-08-12T20:20:00,2026-08-13T00:53:00,,,0,B787,279,SCHEDULED,34353,93
F118,AA1018,CLT,LAX,2026-08-12T20:21:00,2026-08-13T02:15:00,,,0,A321,127,SCHEDULED,34246,108
F176,AA1076,CLT,JFK,2026-08-12T20:39:00,2026-08-12T23:11:00,,,0,A321,128,SCHEDULED,48450,147
F113,AA1013,CLT,SEA,2026-08-12T20:51:00,2026-08-13T01:26:00,,,0,A320,112,SCHEDULED,21796,110
F143,AA1043,ORD,CLT,2026-08-12T20:54:00,2026-08-12T23:17:00,,,0,B787,225,SCHEDULED,25564,93
F159,AA1059,CLT,ORD,2026-08-12T21:01:00,2026-08-12T22:45:00,,,0,B737,121,SCHEDULED,29702,113
F112,AA1012,MIA,JFK,2026-08-12T21:16:00,2026-08-12T22:46:00,,,0,A320,128,SCHEDULED,19276,94
F115,AA1015,DEN,DFW,2026-08-12T21:41:00,2026-08-13T00:15:00,,,0,B787,276,SCHEDULED,49148,150
F172,AA1072,MIA,DFW,2026-08-12T21:47:00,2026-08-13T03:20:00,,,0,B737,134,SCHEDULED,45160,104
F177,AA1077,LAX,MIA,2026-08-12T21:51:00,2026-08-13T02:03:00,,,0,A321,159,SCHEDULED,51081,134
