assignment_id,crew_id,flight_id,role,report_time,scheduled_release,connection_minutes,sequence
A64,C171,F109,FIRST_OFFICER,2026-08-12T06:41:00,2026-08-12T13:03:00,57,2
A65,C192,F106,FLIGHT_ATTENDANT,2026-08-12T06:51:00,2026-08-12T10:27:00,49,1
A66,C144,F106,FLIGHT_ATTENDANT,2026-08-12T06:51:00,2026-08-12T10:27:00,56,1
A67,C039,F106,FLIGHT_ATTENDANT,2026-08-12T06:51:00,2026-08-12T10:27:00,51,1
A68,C036,F106,FLIGHT_ATTENDANT,2026-08-12T06:51:00,2026-08-12T10:27:00,53,1
A69,C113,F109,CAPTAIN,2026-08-12T06:41:00,2026-08-12T13:03:00,51,1
A70,C164,F109,FIRST_OFFICER,2026-08-12T06:41:00,2026-08-12T13:03:00,64,1
A71,C098,F109,FLIGHT_ATTENDANT,2026-08-12T06:56:00,2026-08-12T13:03:00,60,1
A72,C206,F109,FLIGHT_ATTENDANT,2026-08-12T06:56:00,2026-08-12T13:03:00,33,1
A73,C231,F109,FLIGHT_ATTENDANT,2026-08-12T06:56:00,2026-08-12T13:03:00,70,1
A74,C166,F131,CAPTAIN,2026-08-12T06:48:00,2026-08-12T12:32:00,72,1
A75,C097,F131,FIRST_OFFICER,2026-08-12T06:48:00,2026-08-12T12:32:00,74,1
A76,C097,F116,FIRST_OFFICER,2026-08-12T06:49:00,2026-08-12T11:34:00,74,2
A77,C227,F131,FLIGHT_ATTENDANT,2026-08-12T07:03:00,2026-08-12T12:32:00,42,1
A78,C212,F131,FLIGHT_ATTENDANT,2026-08-12T07:03:00,2026-08-12T12:32:00,62,1
A79,C047,F131,FLIGHT_ATTENDANT,2026-08-12T07:03:00,2026-08-12T12:32:00,37,1
A80,C245,F116,CAPTAIN,2026-08-12T06:49:00,2026-08-12T11:34:00,90,1
A81,C105,F116,FIRST_OFFICER,2026-08-12T06:49:00,2026-08-12T11:34:00,68,1
A82,C105,F145,FIRST_OFFICER,2026-08-12T07:28:00,2026-08-12T12:13:00,68,2
A83,C011,F116,FLIGHT_ATTENDANT,2026-08-12T07:04:00,2026-08-12T11:34:00,33,1
A84,C134,F116,FLIGHT_ATTENDANT,2026-08-12T07:04:00,2026-08-12T11:34:00,39,1
A85,C045,F116,FLIGHT_ATTENDANT,2026-08-12T07:04:00,2026-08-12T11:34:00,38,1
A86,C024,F116,FLIGHT_ATTENDANT,2026-08-12T07:04:00,2026-08-12T11:34:00,42,1
A87,C013,F145,CAPTAIN,2026-08-12T07:28:00,2026-08-12T12:13:00,56,1
A88,C040,F145,FIRST_OFFICER,2026-08-12T07:28:00,2026-08-12T12:13:00,71,1
A89,C143,F145,FLIGHT_ATTENDANT,2026-08-12T07:43:00,2026-08-12T12:13:00,59,1
A90,C228,F145,FLIGHT_ATTENDANT,2026-08-12T07:43:00,2026-08-12T12:13:00,39,1
A91,C200,F145,FLIGHT_ATTENDANT,2026-08-12T07:43:00,2026-08-12T12:13:00,50,1
A92,C099,F145,FLIGHT_ATTENDANT,2026-08-12T07:43:00,2026-08-12T12:13:00,75,1
A93,C154,F133,CAPTAIN,2026-08-12T07:42:00,2026-08-12T10:41:00,46,1
A94,C066,F133,FIRST_OFFICER,2026-08-12T07:42:00,2026-08-12T10:41:00,66,1
A95,C066,F171,FIRST_OFFICER,2026-08-12T07:50:00,2026-08-12T12:01:00,66,2
A96,C078,F133,FLIGHT_ATTENDANT,2026-08-12T07:57:00,2026-08-12T10:41:00,41,1
A97,C026,F133,FLIGHT_ATTENDANT,2026-08-12T07:57:00,2026-08-12T10:41:00,50,1
A98,C073,F133,FLIGHT_ATTENDANT,2026-08-12T07:57:00,2026-08-12T10:41:00,70,1
A99,C118,F171,CAPTAIN,2026-08-12T07:50:00,2026-08-12T12:01:00,38,1
A100,C118,F138,CAPTAIN,2026-08-12T08:04:00,2026-08-12T12:49:00,38,2
A101,C133,F171,FIRST_OFFICER,2026-08-12T07:50:00,2026-08-12T12:01:00,52,1
A102,C133,F138,FIRST_OFFICER,2026-08-12T08:04:00,2026-08-12T12:49:00,52,2
A103,C102,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,40,1
A104,C234,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,66,1
A105,C060,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,40,1
A106,C043,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,61,1
A107,C004,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,35,1
A108,C124,F171,FLIGHT_ATTENDANT,2026-08-12T08:05:00,2026-08-12T12:01:00,38,1
A109,C082,F138,CAPTAIN,2026-08-12T08:04:00,2026-08-12T12:49:00,74,1
A110,C179,F138,FIRST_OFFICER,2026-08-12T08:04:00,2026-08-12T12:49:00,62,1
A111,C220,F138,FLIGHT_ATTENDANT,2026-08-12T08:19:00,2026-08-12T12:49:00,60,1
A112,C248,F138,FLIGHT_ATTENDANT,2026-08-12T08:19:00,2026-08-12T12:49:00,54,1
A113,C112,F138,FLIGHT_ATTENDANT,2026-08-12T08:19:00,2026-08-12T12:49:00,30,1
A114,C146,F138,FLIGHT_ATTENDANT,2026-08-12T08:19:00,2026-08-12T12:49:00,32,1
A115,C169,F123,CAPTAIN,2026-08-12T08:08:00,2026-08-12T14:40:00,69,1
A116,C169,F128,CAPTAIN,2026-08-12T08:15:00,2026-08-12T11:23:00,69,2
A117,C084,F123,FIRST_OFFICER,2026-08-12T08:08:00,2026-08-12T14:40:00,58,1
A118,C182,F123,FLIGHT_ATTENDANT,2026-08-12T08:23:00,2026-08-12T14:40:00,50,1
A119,C141,F123,FLIGHT_ATTENDANT,2026-08-12T08:23:00,2026-08-12T14:40:00,63,1
A120,C095,F123,FLIGHT_ATTENDANT,2026-08-12T08:23:00,2026-08-12T14:40:00,42,1
A121,C221,F123,FLIGHT_ATTENDANT,2026-08-12T08:23:00,2026-08-12T14:40:00,31,1
A122,C157,F128,CAPTAIN,2026-08-12T08:15:00,2026-08-12T11:23:00,78,1
A123,C157,F103,CAPTAIN,2026-08-12T08:31:00,2026-08-12T12:12:00,78,2
A124,C147,F128,FIRST_OFFICER,2026-08-12T08:15:00,2026-08-12T11:23:00,81,1
A125,C147,F103,FIRST_OFFICER,2026-08-12T08:31:00,2026-08-12T12:12:00,81,2
A126,C140,F128,FLIGHT_ATTENDANT,2026-08-12T08:30:00,2026-08-12T11:23:00,74,1
A127,C012,F128,FLIGHT_ATTENDANT,2026-08-12T08:30:00,2026-08-12T11:23:00,52,1
A128,C178,F128,FLIGHT_ATTENDANT,2026-08-12T08:30:00,2026-08-12T11:23:00,49,1
A129,C010,F128,FLIGHT_ATTENDANT,2026-08-12T08:30:00,2026-08-12T11:23:00,38,1
A130,C017,F103,CAPTAIN,2026-08-12T08:31:00,2026-08-12T12:12:00,41,1
A131,C017,F181,CAPTAIN,2026-08-12T08:38:00,2026-08-12T13:59:00,41,2
A132,C037,F103,FIRST_OFFICER,2026-08-12T08:31:00,2026-08-12T12:12:00,72,1
A133,C037,F181,FIRST_OFFICER,2026-08-12T08:38:00,2026-08-12T13:59:00,72,2
A134,C080,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,34,1
A135,C014,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,32,1
A136,C062,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,49,1
A137,C061,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,48,1
A138,C058,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,59,1
A139,C006,F103,FLIGHT_ATTENDANT,2026-08-12T08:46:00,2026-08-12T12:12:00,63,1
A140,C223,F181,CAPTAIN,2026-08-12T08:38:00,2026-08-12T13:59:00,73,1
A141,C041,F181,FIRST_OFFICER,2026-08-12T08:38:00,2026-08-12T13:59:00,62,1
A142,C216,F181,FLIGHT_ATTENDANT,2026-08-12T08:53:00,2026-08-12T13:59:00,38,1
A143,C203,F181,FLIGHT_ATTENDANT,2026-08-12T08:53:00,2026-08-12T13:59:00,51,1
A144,C046,F181,FLIGHT_ATTENDANT,2026-08-12T08:53:00,2026-08-12T13:59:00,61,1
A145,C236,F180,CAPTAIN,2026-08-12T08:41:00,2026-08-12T14:56:00,57,1
A146,C181,F180,FIRST_OFFICER,2026-08-12T08:41:00,2026-08-12T14:56:00,45,1
A147,C148,F180,FLIGHT_ATTENDANT,2026-08-12T08:56:00,2026-08-12T14:56:00,55,1
A148,C195,F180,FLIGHT_ATTENDANT,2026-08-12T08:56:00,2026-08-12T14:56:00,31,1
A149,C109,F180,FLIGHT_ATTENDANT,2026-08-12T08:56:00,2026-08-12T14:56:00,44,1
A150,C094,F122,CAPTAIN,2026-08-12T08:45:00,2026-08-12T15:23:00,49,1
A151,C188,F122,FIRST_OFFICER,2026-08-12T08:45:00,2026-08-12T15:23:00,43,1
A152,C188,F132,FIRST_OFFICER,2026-08-12T08:52:00,2026-08-12T14:58:00,43,2
A153,C020,F122,FLIGHT_ATTENDANT,2026-08-12T09:00:00,2026-08-12T15:23:00,31,1
A154,C104,F132,CAPTAIN,2026-08-12T08:52:00,2026-08-12T14:58:00,72,1
A155,C119,F132,FIRST_OFFICER,2026-08-12T08:52:00,2026-08-12T14:58:00,42,1
A156,C119,F139,FIRST_OFFICER,2026-08-12T09:23:00,2026-08-12T12:30:00,42,2
A157,C117,F139,CAPTAIN,2026-08-12T09:23:00,2026-08-12T12:30:00,76,1
A158,C186,F139,FIRST_OFFICER,2026-08-12T09:23:00,2026-08-12T12:30:00,59,1
A159,C161,F165,CAPTAIN,2026-08-12T09:34:00,2026-08-12T15:30:00,51,1
A160,C044,F165,FIRST_OFFICER,2026-08-12T09:34:00,2026-08-12T15:30:00,74,1
A161,C044,F156,FIRST_OFFICER,2026-08-12T09:58:00,2026-08-12T15:04:00,74,2
A162,C008,F156,CAPTAIN,2026-08-12T09:58:00,2026-08-12T15:04:00,38,1
A163,C130,F156,FIRST_OFFICER,2026-08-12T09:58:00,2026-08-12T15:04:00,76,1
A164,C071,F152,CAPTAIN,2026-08-12T10:02:00,2026-08-12T16:00:00,38,1
A165,C230,F152,FIRST_OFFICER,2026-08-12T10:02:00,2026-08-12T16:00:00,61,1
A166,C174,F163,CAPTAIN,2026-08-12T10:12:00,2026-08-12T16:22:00,42,1
A167,C225,F163,FIRST_OFFICER,2026-08-12T10:12:00,2026-08-12T16:22:00,65,1
A168,C211,F107,CAPTAIN,2026-08-12T10:30:00,2026-08-12T16:59:00,48,1
A169,C128,F107,FIRST_OFFICER,2026-08-12T10:30:00,2026-08-12T16:59:00,75,1
A170,C128,F157,FIRST_OFFICER,2026-08-12T10:48:00,2026-08-12T16:06:00,75,2
A171,C193,F157,CAPTAIN,2026-08-12T10:48:00,2026-08-12T16:06:00,61,1
A172,C064,F157,FIRST_OFFICER,2026-08-12T10:48:00,2026-08-12T16:06:00,77,1
A173,C173,F101,CAPTAIN,2026-08-12T10:50:00,2026-08-12T15:37:00,74,1
A174,C003,F101,FIRST_OFFICER,2026-08-12T10:50:00,2026-08-12T15:37:00,43,1
A175,C127,F136,CAPTAIN,2026-08-12T10:53:00,2026-08-12T14:24:00,41,1
A176,C120,F136,FIRST_OFFICER,2026-08-12T10:53:00,2026-08-12T14:24:00,74,1
A177,C120,F130,FIRST_OFFICER,2026-08-12T10:56:00,2026-08-12T17:34:00,74,2
A178,C126,F130,CAPTAIN,2026-08-12T10:56:00,2026-08-12T17:34:00,42,1
A179,C242,F130,FIRST_OFFICER,2026-08-12T10:56:00,2026-08-12T17:34:00,66,1
A180,C242,F184,FIRST_OFFICER,2026-08-12T11:05:00,2026-08-12T14:06:00,66,2
A181,C202,F184,CAPTAIN,2026-08-12T11:05:00,2026-08-12T14:06:00,47,1
A182,C160,F184,FIRST_OFFICER,2026-08-12T11:05:00,2026-08-12T14:06:00,88,1
A183,C018,F137,CAPTAIN,2026-08-12T11:09:00,2026-08-12T18:06:00,47,1
A184,C018,F166,CAPTAIN,2026-08-12T11:10:00,2026-08-12T16:54:00,47,2
A185,C030,F137,FIRST_OFFICER,2026-08-12T11:09:00,2026-08-12T18:06:00,61,1
A186,C030,F166,FIRST_OFFICER,2026-08-12T11:10:00,2026-08-12T16:54:00,61,2
A187,C106,F166,CAPTAIN,2026-08-12T11:10:00,2026-08-12T16:54:00,37,1
A188,C086,F166,FIRST_OFFICER,2026-08-12T11:10:00,2026-08-12T16:54:00,48,1
A189,C081,F150,CAPTAIN,2026-08-12T11:20:00,2026-08-12T14:55:00,65,1
A190,C081,F127,CAPTAIN,2026-08-12T11:39:00,2026-08-12T15:20:00,65,2
A191,C115,F150,FIRST_OFFICER,2026-08-12T11:20:00,2026-08-12T14:55:00,35,1
A192,C115,F127,FIRST_OFFICER,2026-08-12T11:39:00,2026-08-12T15:20:00,35,2
A193,C176,F127,CAPTAIN,2026-08-12T11:39:00,2026-08-12T15:20:00,40,1
A194,C217,F127,FIRST_OFFICER,2026-08-12T11:39:00,2026-08-12T15:20:00,88,1
A195,C243,F187,CAPTAIN,2026-08-12T12:19:00,2026-08-12T16:41:00,66,1
A196,C243,F105,CAPTAIN,2026-08-12T12:41:00,2026-08-12T19:23:00,66,2
A197,C007,F187,FIRST_OFFICER,2026-08-12T12:19:00,2026-08-12T16:41:00,40,1
A198,C183,F105,CAPTAIN,2026-08-12T12:41:00,2026-08-12T19:23:00,39,1
A199,C241,F105,FIRST_OFFICER,2026-08-12T12:41:00,2026-08-12T19:23:00,41,1
A200,C238,F169,CAPTAIN,2026-08-12T12:43:00,2026-08-12T19:15:00,76,1
A201,C238,F170,CAPTAIN,2026-08-12T12:47:00,2026-08-12T18:08:00,76,2
A202,C204,F169,FIRST_OFFICER,2026-08-12T12:43:00,2026-08-12T19:15:00,53,1
A203,C204,F170,FIRST_OFFICER,2026-08-12T12:47:00,2026-08-12T18:08:00,53,2
A204,C208,F170,CAPTAIN,2026-08-12T12:47:00,2026-08-12T18:08:00,38,1
A205,C208,F149,CAPTAIN,2026-08-12T13:18:00,2026-08-12T16:06:00,38,2
A206,C205,F170,FIRST_OFFICER,2026-08-12T12:47:00,2026-08-12T18:08:00,46,1
A207,C246,F149,CAPTAIN,2026-08-12T13:18:00,2026-08-12T16:06:00,89,1
A208,C246,F167,CAPTAIN,2026-08-12T13:21:00,2026-08-12T15:51:00,89,2
A209,C054,F149,FIRST_OFFICER,2026-08-12T13:18:00,2026-08-12T16:06:00,86,1
A210,C023,F167,CAPTAIN,2026-08-12T13:21:00,2026-08-12T15:51:00,62,1
A211,C125,F167,FIRST_OFFICER,2026-08-12T13:21:00,2026-08-12T15:51:00,41,1
A212,C139,F120,CAPTAIN,2026-08-12T14:02:00,2026-08-12T18:24:00,37,1
A213,C139,F161,CAPTAIN,2026-08-12T14:20:00,2026-08-12T21:11:00,37,2
A214,C101,F120,FIRST_OFFICER,2026-08-12T14:02:00,2026-08-12T18:24:00,43,1
A215,C015,F161,CAPTAIN,2026-08-12T14:20:00,2026-08-12T21:11:00,45,1
A216,C015,F111,CAPTAIN,2026-08-12T14:23:00,2026-08-12T18:34:00,45,2
A217,C032,F111,CAPTAIN,2026-08-12T14:23:00,2026-08-12T18:34:00,63,1
A218,C053,F146,CAPTAIN,2026-08-12T14:49:00,2026-08-12T20:55:00,52,1
A219,C070,F158,CAPTAIN,2026-08-12T14:56:00,2026-08-12T21:46:00,40,1
A220,C070,F102,CAPTAIN,2026-08-12T15:11:00,2026-08-12T21:56:00,40,2
A221,C051,F102,CAPTAIN,2026-08-12T15:11:00,2026-08-12T21:56:00,56,1
A222,C051,F174,CAPTAIN,2026-08-12T15:11:00,2026-08-12T17:43:00,56,2
A223,C052,F174,CAPTAIN,2026-08-12T15:11:00,2026-08-12T17:43:00,60,1
A224,C145,F124,CAPTAIN,2026-08-12T15:14:00,2026-08-12T21:24:00,64,1
A225,C145,F164,CAPTAIN,2026-08-12T15:19:00,2026-08-12T18:52:00,64,2
A226,C215,F164,CAPTAIN,2026-08-12T15:19:00,2026-08-12T18:52:00,59,1
A227,C029,F108,CAPTAIN,2026-08-12T15:38:00,2026-08-12T20:24:00,65,1
A228,C035,F100,CAPTAIN,2026-08-12T15:41:00,2026-08-12T20:57:00,76,1
A229,C180,F148,CAPTAIN,2026-08-12T16:02:00,2026-08-12T22:10:00,45,1
A230,C180,F117,CAPTAIN,2026-08-12T16:10:00,2026-08-12T21:19:00,45,2
A231,C201,F117,CAPTAIN,2026-08-12T16:10:00,2026-08-12T21:19:00,79,1
